Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Latitude,Longitude
2017,1,1,0,30,3.5,0,0,0,0,-12.2,0,0,0,0,0.269,30.79,166.93,0.24,893,0.5,329,1.2,34.29,60.9
2017,1,1,1,30,3.2,0,0,0,0,-12,0,0,0,0,0.268,31.73,157.29,0.24,893,0.5,174,1.2,,
2017,1,1,2,30,2.8,0,0,0,0,-12,0,0,0,0,0.267,32.81,145.39,0.24,893,0.5,14,1.2,,
2017,1,1,3,30,2.7,0,0,0,0,-11.9,0,0,0,0,0.266,33.12,133.04,0.24,893,0.5,23,1.2,,
2017,1,1,4,30,2.8,0,0,0,0,-5.7,0,0,0,0,0.242,53.47,120.71,0.23,894,1.2,22,3.5,,
2017,1,1,5,30,2.1,0,0,0,0,-5.8,0,0,0,0,0.242,55.89,108.6,0.23,894,1.3,20,3.1,,
2017,1,1,6,30,2,0,0,0,0,-5.9,0,0,0,0,0.242,55.78,96.92,0.23,895,1.3,15,3.1,,
2017,1,1,7,30,3.3,31,187,45,7,-5.9,26,99,3,34,0.242,51,85.74,0.23,895,1.3,14,3.2,,
2017,1,1,8,30,5.4,74,540,206,4,-5.8,88,8,3,90,0.243,44.26,75.87,0.23,895,1.4,18,2.9,,
2017,1,1,9,30,7.5,97,698,365,0,-5.7,97,698,1,365,0.244,38.59,67.41,0.23,895,1.4,24,2.1,,
2017,1,1,10,30,9.8,105,788,486,7,-5.5,203,340,0,367,0.244,33.51,61.1,0.23,894,1.4,189,1.4,,
2017,1,1,11,30,12.2,107,831,551,3,-5.3,250,217,3,366,0.243,29.16,57.68,0.23,893,1.4,299,1.5,,
2017,1,1,12,30,14.1,104,840,553,0,-5,104,840,0,553,0.242,26.33,57.68,0.23,893,1.4,237,2,,
2017,1,1,13,30,15.1,97,814,491,1,-4.6,97,814,0,491,0.241,25.33,61.09,0.23,892,1.4,223,2.4,,
2017,1,1,14,30,14.7,86,744,372,1,-4.2,86,744,0,372,0.241,26.9,67.4,0.23,891,1.4,207,2,,
2017,1,1,15,30,12.7,67,596,212,0,-2.2,67,596,0,212,0.242,35.47,75.85,0.23,891,1.3,187,1.3,,
2017,1,1,16,30,10.5,29,232,47,4,-1.7,20,0,3,20,0.244,42.51,85.73,0.23,891,1.3,177,1.2,,
2017,1,1,17,30,9.5,0,0,0,0,-2.9,0,0,0,0,0.245,41.71,96.9,0.23,891,1.3,183,1.3,,
2017,1,1,18,30,9.1,0,0,0,0,-3.2,0,0,0,0,0.246,41.8,108.58,0.23,892,1.3,195,1.4,,
2017,1,1,19,30,8.8,0,0,0,4,-3.1,0,0,0,0,0.246,43.03,120.69,0.23,892,1.4,202,1.5,,
2017,1,1,20,30,8.4,0,0,0,0,-3,0,0,0,0,0.247,44.53,133.03,0.23,892,1.4,199,1.7,,
2017,1,1,21,30,7.9,0,0,0,7,-3.1,0,0,0,0,0.249,45.65,145.37,0.23,891,1.4,191,1.8,,
2017,1,1,22,30,7.6,0,0,0,7,-3.2,0,0,0,0,0.251,46.22,157.26,0.23,891,1.5,185,2,,
2017,1,1,23,30,7.6,0,0,0,7,-3.2,0,0,0,0,0.252,46.32,166.86,0.23,891,1.6,187,2.2,,
2017,1,2,0,30,7.8,0,0,0,0,-3.1,0,0,0,0,0.252,46.09,166.9,0.23,891,1.7,201,2.6,,
2017,1,2,1,30,7.9,0,0,0,0,-2.6,0,0,0,0,0.252,47.46,157.34,0.23,891,1.8,220,2.9,,
2017,1,2,2,30,7.7,0,0,0,4,-0.9,0,0,0,0,0.251,54.49,145.46,0.23,891,2,234,2.9,,
2017,1,2,3,30,7.6,0,0,0,7,1.7,0,0,0,0,0.251,66.3,133.11,0.23,891,2,240,2.9,,
2017,1,2,4,30,7.5,0,0,0,1,4.4,0,0,0,0,0.251,80.49,120.77,0.23,892,2.1,246,2.5,,
2017,1,2,5,30,7.2,0,0,0,4,6.1,0,0,0,0,0.252,93.02,108.65,0.23,892,2.1,241,2.1,,
2017,1,2,6,30,7.2,0,0,0,4,7,0,0,0,0,0.254,98.73,96.96,0.23,892,2,228,2.1,,
2017,1,2,7,30,8.9,31,126,41,3,7.3,13,0,3,13,0.256,89.84,85.77,0.23,892,2,216,3.2,,
2017,1,2,8,30,11.4,81,479,198,0,7.3,81,479,0,198,0.257,75.98,75.88,0.23,893,2,209,4.1,,
2017,1,2,9,30,13.6,105,647,354,3,7.7,163,72,0,191,0.259,67.4,67.4,0.23,893,2,208,4.3,,
2017,1,2,10,30,15.2,118,730,472,7,7.6,219,225,0,328,0.26,60.66,61.06,0.23,892,2,213,4.6,,
2017,1,2,11,30,16.3,127,760,534,7,7.1,237,313,0,405,0.261,54.62,57.61,0.23,891,2,221,4.6,,
2017,1,2,12,30,16.9,131,751,533,2,6.4,245,269,3,389,0.261,50.07,57.58,0.23,891,2,229,4.2,,
2017,1,2,13,30,17,129,704,470,7,5.9,212,294,3,354,0.262,47.81,60.97,0.23,890,2,237,3.6,,
2017,1,2,14,30,16.4,117,613,353,3,5.7,169,146,0,226,0.263,49.04,67.26,0.23,890,2,246,2.5,,
2017,1,2,15,30,14.7,90,436,198,4,6.2,99,110,3,126,0.264,56.56,75.71,0.23,890,2,257,1.4,,
2017,1,2,16,30,12.9,34,103,42,4,6.3,25,0,3,25,0.266,64.21,85.59,0.23,890,2,267,0.9,,
2017,1,2,17,30,11.9,0,0,0,4,6.7,0,0,0,0,0.268,70.69,96.76,0.23,891,2.1,268,0.8,,
2017,1,2,18,30,11.2,0,0,0,4,7.2,0,0,0,0,0.269,76.64,108.44,0.23,891,2.1,260,0.8,,
2017,1,2,19,30,10.6,0,0,0,4,7.7,0,0,0,0,0.269,82.2,120.55,0.23,891,2.1,252,0.8,,
2017,1,2,20,30,10.1,0,0,0,4,8.1,0,0,0,0,0.269,87.68,132.89,0.23,891,2.1,244,0.8,,
2017,1,2,21,30,9.6,0,0,0,4,8.6,0,0,0,0,0.268,93.33,145.23,0.23,891,2.1,142,0.9,,
2017,1,2,22,30,9,0,0,0,8,8.9,0,0,0,0,0.267,99.06,157.12,0.23,890,2.1,27,1.3,,
2017,1,2,23,30,8.5,0,0,0,8,8.5,0,0,0,0,0.268,100,166.72,0.23,891,2.1,8,2.2,,
2017,1,3,0,30,7.9,0,0,0,7,7.9,0,0,0,0,0.268,100,166.87,0.23,891,2,10,3.4,,
2017,1,3,1,30,6.8,0,0,0,4,6.8,0,0,0,0,0.268,100,157.37,0.23,892,1.9,20,4.2,,
2017,1,3,2,30,5.3,0,0,0,4,5.3,0,0,0,0,0.268,100,145.51,0.23,892,1.9,31,4.4,,
2017,1,3,3,30,4.5,0,0,0,8,4,0,0,0,0,0.268,96.89,133.17,0.23,891,1.8,35,4.5,,
2017,1,3,4,30,3,0,0,0,4,2.6,0,0,0,0,0.268,97.43,120.82,0.22,891,1.8,38,4.2,,
2017,1,3,5,30,2.7,0,0,0,4,2.1,0,0,0,0,0.268,95.92,108.7,0.22,891,1.7,32,3.9,,
2017,1,3,6,30,2.6,0,0,0,4,2.1,0,0,0,0,0.269,96.54,96.99,0.22,891,1.7,15,3.6,,
2017,1,3,7,30,2.7,28,29,30,4,2.1,4,0,3,4,0.269,95.65,85.79,0.22,892,1.7,5,3.6,,
2017,1,3,8,30,3.3,117,269,182,8,2.1,9,0,3,9,0.27,91.83,75.88,0.22,892,1.6,175,3.1,,
2017,1,3,9,30,4.9,149,504,343,4,2.4,29,0,0,29,0.272,84.15,67.37,0.22,892,1.5,319,2.2,,
2017,1,3,10,30,7.8,150,666,472,7,3.2,62,0,0,62,0.273,72.54,61.01,0.22,891,1.3,277,2.1,,
2017,1,3,11,30,10.4,142,752,546,7,3.7,250,103,0,305,0.273,63.14,57.53,0.22,891,1.1,256,2.8,,
2017,1,3,12,30,11.7,130,789,555,7,3.7,84,0,0,84,0.273,57.95,57.47,0.22,890,1,253,3.4,,
2017,1,3,13,30,12.3,114,782,495,2,3.5,225,146,0,296,0.272,54.93,60.84,0.22,889,1,256,3.7,,
2017,1,3,14,30,12.3,96,725,378,4,3,156,38,0,171,0.271,53.02,67.12,0.22,889,1,263,3.6,,
2017,1,3,15,30,10.6,71,596,219,3,2.8,17,0,3,17,0.271,58.44,75.57,0.22,889,0.9,271,2.5,,
2017,1,3,16,30,8.2,30,264,51,4,4.1,5,0,3,5,0.272,75.35,85.45,0.22,890,0.9,282,1.6,,
2017,1,3,17,30,6.8,0,0,0,1,2.6,0,0,0,0,0.274,74.6,96.61,0.22,890,0.9,297,1.5,,
2017,1,3,18,30,5.7,0,0,0,0,1.9,0,0,0,0,0.275,76.47,108.3,0.22,891,0.8,315,1.6,,
2017,1,3,19,30,4.5,0,0,0,1,1.3,0,0,0,0,0.277,79.88,120.41,0.22,892,0.8,337,1.8,,
2017,1,3,20,30,3.3,0,0,0,0,0.9,0,0,0,0,0.279,84.51,132.75,0.22,892,0.8,180,2.4,,
2017,1,3,21,30,2.2,0,0,0,0,1,0,0,0,0,0.28,91.8,145.09,0.22,892,0.7,20,3.1,,
2017,1,3,22,30,1.5,0,0,0,0,1.3,0,0,0,0,0.281,98.52,156.97,0.22,893,0.7,33,4,,
2017,1,3,23,30,1.2,0,0,0,0,1.2,0,0,0,0,0.28,100,166.59,0.22,893,0.6,40,4.5,,
2017,1,4,0,30,0.9,0,0,0,0,0.9,0,0,0,0,0.278,100,166.83,0.22,893,0.6,40,4.7,,
2017,1,4,1,30,0.6,0,0,0,0,0.6,0,0,0,0,0.277,100,157.4,0.22,893,0.6,40,4.7,,
2017,1,4,2,30,0.2,0,0,0,0,0.2,0,0,0,0,0.276,100,145.55,0.22,893,0.6,41,4.4,,
2017,1,4,3,30,0,0,0,0,0,0,0,0,0,0,0.276,100,133.22,0.22,893,0.6,42,4.1,,
2017,1,4,4,30,-0.5,0,0,0,0,-0.5,0,0,0,0,0.275,100,120.87,0.22,893,0.6,46,3.4,,
2017,1,4,5,30,-0.9,0,0,0,0,-0.9,0,0,0,0,0.275,100,108.74,0.22,893,0.6,48,2.9,,
2017,1,4,6,30,-1,0,0,0,0,-1,0,0,0,0,0.274,100,97.02,0.22,893,0.5,50,2.6,,
2017,1,4,7,30,-0.4,31,264,50,0,-0.7,31,264,0,50,0.273,97.62,85.8,0.22,893,0.5,51,2.3,,
2017,1,4,8,30,1.1,65,658,225,0,-0.8,65,658,0,225,0.272,86.92,75.87,0.22,893,0.5,51,1.7,,
2017,1,4,9,30,3.2,79,823,396,0,-0.9,79,823,0,396,0.272,74.39,67.34,0.22,893,0.5,137,0.9,,
2017,1,4,10,30,5.4,85,901,523,0,-1.5,85,901,0,523,0.271,61.28,60.95,0.22,893,0.5,228,1.1,,
2017,1,4,11,30,7.2,87,935,590,0,-2.7,87,935,0,590,0.27,49.41,57.44,0.22,891,0.5,234,1.8,,
2017,1,4,12,30,8.4,86,939,593,0,-3.2,86,939,0,593,0.27,43.81,57.35,0.22,891,0.5,236,2.1,,
2017,1,4,13,30,9.2,82,913,529,0,-3.5,82,913,0,529,0.27,40.6,60.71,0.22,890,0.5,236,2.2,,
2017,1,4,14,30,9.3,73,852,406,0,-3.8,73,852,0,406,0.271,39.6,66.98,0.22,890,0.5,234,2,,
2017,1,4,15,30,8,58,718,238,0,-3.6,58,718,0,238,0.272,43.61,75.42,0.22,890,0.5,223,1.3,,
2017,1,4,16,30,6.2,29,370,59,0,-0.8,29,370,0,59,0.275,60.66,85.31,0.22,890,0.5,193,0.8,,
2017,1,4,17,30,5.2,0,0,0,0,-2.5,0,0,0,0,0.277,57.46,96.47,0.22,891,0.5,164,0.7,,
2017,1,4,18,30,4.8,0,0,0,0,-3,0,0,0,0,0.278,57.14,108.15,0.22,891,0.6,178,0.7,,
2017,1,4,19,30,4.3,0,0,0,0,-3.3,0,0,0,0,0.278,57.76,120.27,0.22,892,0.6,217,0.8,,
2017,1,4,20,30,3.7,0,0,0,0,-3.6,0,0,0,0,0.278,58.71,132.61,0.22,892,0.5,233,0.8,,
2017,1,4,21,30,3.1,0,0,0,0,-3.9,0,0,0,0,0.278,59.89,144.95,0.22,891,0.5,244,0.9,,
2017,1,4,22,30,2.7,0,0,0,0,-4.2,0,0,0,0,0.277,60.34,156.83,0.22,891,0.5,264,0.9,,
2017,1,4,23,30,2.4,0,0,0,0,-4.5,0,0,0,0,0.278,60.23,166.44,0.22,891,0.5,283,0.9,,
2017,1,5,0,30,1.9,0,0,0,0,-4.8,0,0,0,0,0.278,60.99,166.78,0.22,891,0.5,298,1,,
2017,1,5,1,30,1.2,0,0,0,0,-5.1,0,0,0,0,0.279,63,157.42,0.22,891,0.5,310,1,,
2017,1,5,2,30,0.3,0,0,0,0,-5.3,0,0,0,0,0.28,66.07,145.6,0.22,891,0.5,318,1,,
2017,1,5,3,30,-0.2,0,0,0,0,-5.6,0,0,0,0,0.281,66.98,133.26,0.22,891,0.5,321,1.1,,
2017,1,5,4,30,-1.4,0,0,0,0,-5.9,0,0,0,0,0.281,71.23,120.91,0.22,892,0.5,332,1.3,,
2017,1,5,5,30,-2.1,0,0,0,7,-6.4,0,0,0,0,0.28,72.57,108.77,0.22,892,0.5,341,1.4,,
2017,1,5,6,30,-2.1,0,0,0,0,-6.7,0,0,0,0,0.279,70.54,97.05,0.22,893,0.5,353,1.4,,
2017,1,5,7,30,0,25,390,53,4,-6,15,0,3,15,0.279,63.88,85.81,0.22,893,0.4,184,1.8,,
2017,1,5,8,30,3.3,51,750,235,0,-5.8,51,750,0,235,0.279,51.52,75.86,0.22,893,0.4,13,2.5,,
2017,1,5,9,30,6,65,885,406,2,-6.1,167,92,0,202,0.279,41.64,67.31,0.22,894,0.4,12,2.7,,
2017,1,5,10,30,8.1,71,953,534,3,-6.6,211,298,0,356,0.28,34.75,60.89,0.22,893,0.4,184,2.8,,
2017,1,5,11,30,9.3,73,980,602,0,-7.3,73,980,0,602,0.281,30.31,57.34,0.22,893,0.4,360,3.1,,
2017,1,5,12,30,9.9,73,974,600,0,-7.8,73,974,0,600,0.282,27.99,57.23,0.22,892,0.5,183,3.5,,
2017,1,5,13,30,9.8,78,923,532,0,-8,78,923,0,532,0.282,27.62,60.57,0.22,892,0.5,13,3.8,,
2017,1,5,14,30,9.1,72,856,409,0,-8,72,856,0,409,0.281,29.04,66.83,0.22,892,0.5,28,4.1,,
2017,1,5,15,30,7,59,710,240,0,-7.4,59,710,0,240,0.28,35.24,75.27,0.22,893,0.5,44,4,,
2017,1,5,16,30,4.1,31,351,60,0,-5.1,31,351,0,60,0.278,50.97,85.16,0.22,894,0.5,52,4.2,,
2017,1,5,17,30,2.3,0,0,0,0,-5.2,0,0,0,0,0.277,57.85,96.32,0.22,895,0.6,50,5.1,,
2017,1,5,18,30,1.2,0,0,0,0,-5.3,0,0,0,0,0.276,61.77,108.01,0.22,895,0.6,44,5.3,,
2017,1,5,19,30,0.3,0,0,0,0,-5.5,0,0,0,0,0.276,64.96,120.13,0.22,896,0.6,39,4.9,,
2017,1,5,20,30,-0.7,0,0,0,0,-5.8,0,0,0,0,0.277,68.45,132.47,0.22,896,0.5,34,4.3,,
2017,1,5,21,30,-1.7,0,0,0,0,-6,0,0,0,0,0.277,72.49,144.81,0.22,896,0.5,31,3.8,,
2017,1,5,22,30,-2.5,0,0,0,0,-6.2,0,0,0,0,0.278,75.79,156.68,0.22,896,0.5,28,3.5,,
2017,1,5,23,30,-3.3,0,0,0,0,-6.4,0,0,0,0,0.278,79.24,166.29,0.22,897,0.5,26,3.3,,
2017,1,6,0,30,-4,0,0,0,0,-6.6,0,0,0,0,0.277,82.15,166.73,0.22,897,0.4,24,3.2,,
2017,1,6,1,30,-4.5,0,0,0,0,-6.8,0,0,0,0,0.276,83.94,157.44,0.22,897,0.4,22,3,,
2017,1,6,2,30,-5,0,0,0,0,-7,0,0,0,0,0.276,86.17,145.63,0.22,897,0.4,18,2.8,,
2017,1,6,3,30,-5.3,0,0,0,0,-7,0,0,0,0,0.277,87.85,133.3,0.22,897,0.4,16,2.7,,
2017,1,6,4,30,-5.7,0,0,0,0,-7,0,0,0,0,0.28,90.82,120.95,0.22,898,0.4,14,2.5,,
2017,1,6,5,30,-5.8,0,0,0,0,-6.9,0,0,0,0,0.279,91.87,108.8,0.22,898,0.4,13,2.3,,
2017,1,6,6,30,-5.3,0,0,0,0,-6.8,0,0,0,0,0.276,88.93,97.07,0.22,899,0.4,14,2.4,,
2017,1,6,7,30,-3.3,27,359,53,0,-6.6,27,359,0,53,0.275,77.93,85.81,0.22,899,0.4,18,3.2,,
2017,1,6,8,30,-0.2,56,727,234,0,-6.2,56,727,0,234,0.275,63.8,75.84,0.22,899,0.4,26,3.9,,
2017,1,6,9,30,2.6,70,868,406,0,-7,70,868,0,406,0.274,49.27,67.27,0.22,899,0.4,27,4,,
2017,1,6,10,30,4.4,80,928,533,0,-8.6,80,928,0,533,0.274,38.25,60.81,0.22,899,0.4,20,4,,
2017,1,6,11,30,5.7,84,955,601,0,-9.5,84,955,0,601,0.273,32.6,57.24,0.22,898,0.4,15,3.9,,
2017,1,6,12,30,6.5,85,955,603,0,-9.7,85,955,0,603,0.274,30.25,57.1,0.22,898,0.4,14,3.9,,
2017,1,6,13,30,6.8,80,933,540,0,-9.9,80,933,0,540,0.275,29.2,60.42,0.22,897,0.4,17,3.9,,
2017,1,6,14,30,6.4,71,877,418,0,-10.2,71,877,0,418,0.275,29.43,66.67,0.22,897,0.4,27,3.8,,
2017,1,6,15,30,4.4,56,752,249,0,-10.2,56,752,0,249,0.275,33.81,75.11,0.22,897,0.4,45,2.9,,
2017,1,6,16,30,1.3,29,425,66,0,-7.5,29,425,0,66,0.274,51.79,85,0.22,897,0.4,63,2.3,,
2017,1,6,17,30,-0.7,0,0,0,0,-8.3,0,0,0,0,0.274,56.53,96.17,0.22,898,0.4,67,2.7,,
2017,1,6,18,30,-1.8,0,0,0,0,-8.8,0,0,0,0,0.274,58.68,107.86,0.22,898,0.4,62,3,,
2017,1,6,19,30,-2.9,0,0,0,0,-9,0,0,0,0,0.274,62.71,119.98,0.22,898,0.3,54,2.7,,
2017,1,6,20,30,-3.9,0,0,0,0,-9,0,0,0,0,0.275,67.7,132.32,0.22,899,0.3,46,2.3,,
2017,1,6,21,30,-4.7,0,0,0,0,-9,0,0,0,0,0.275,71.93,144.66,0.22,899,0.3,39,1.9,,
2017,1,6,22,30,-5.4,0,0,0,0,-9,0,0,0,0,0.275,75.55,156.52,0.22,898,0.3,34,1.7,,
2017,1,6,23,30,-5.8,0,0,0,0,-9.1,0,0,0,0,0.275,77.26,166.14,0.22,898,0.3,28,1.5,,
2017,1,7,0,30,-6.1,0,0,0,0,-9.2,0,0,0,0,0.274,78.39,166.66,0.22,898,0.3,24,1.4,,
2017,1,7,1,30,-6.3,0,0,0,0,-9.3,0,0,0,0,0.274,79.04,157.44,0.22,898,0.3,21,1.4,,
2017,1,7,2,30,-6.4,0,0,0,0,-9.4,0,0,0,0,0.273,79.21,145.66,0.22,897,0.3,21,1.4,,
2017,1,7,3,30,-6.4,0,0,0,0,-9.4,0,0,0,0,0.272,79.02,133.34,0.22,897,0.3,21,1.4,,
2017,1,7,4,30,-6.4,0,0,0,0,-9.4,0,0,0,0,0.271,78.97,120.98,0.22,897,0.3,25,1.4,,
2017,1,7,5,30,-6.4,0,0,0,0,-9.4,0,0,0,0,0.271,78.96,108.82,0.22,897,0.3,27,1.5,,
2017,1,7,6,30,-5.7,0,0,0,0,-9.5,0,0,0,0,0.271,74.84,97.08,0.22,897,0.3,27,1.6,,
2017,1,7,7,30,-3.7,25,423,56,0,-9.1,25,423,0,56,0.271,66.37,85.81,0.22,897,0.3,28,2.2,,
2017,1,7,8,30,-0.7,51,778,241,0,-9.1,51,778,0,241,0.271,52.82,75.82,0.22,898,0.3,32,2.5,,
2017,1,7,9,30,2.2,63,911,416,0,-10.1,63,911,0,416,0.272,39.84,67.22,0.22,897,0.3,35,2.4,,
2017,1,7,10,30,4.3,73,964,544,0,-11.1,73,964,0,544,0.273,31.65,60.73,0.22,897,0.3,30,2.3,,
2017,1,7,11,30,5.9,76,991,614,0,-11.5,76,991,0,614,0.273,27.34,57.13,0.22,896,0.3,24,2.4,,
2017,1,7,12,30,7,75,994,617,0,-12.2,75,994,0,617,0.272,24.1,56.96,0.22,895,0.3,26,2.6,,
2017,1,7,13,30,7.5,74,964,552,0,-12.6,74,964,0,552,0.272,22.54,60.27,0.22,894,0.3,33,2.9,,
2017,1,7,14,30,7.1,67,906,428,0,-12.8,67,906,0,428,0.272,22.71,66.51,0.22,894,0.3,43,3,,
2017,1,7,15,30,4.5,54,782,257,0,-12.3,54,782,0,257,0.272,28.27,74.95,0.22,893,0.3,54,2.4,,
2017,1,7,16,30,0.8,29,458,70,0,-8.2,29,458,0,70,0.273,51.12,84.85,0.22,894,0.3,60,2,,
2017,1,7,17,30,-1.2,0,0,0,0,-9.9,0,0,0,0,0.274,51.47,96.01,0.22,894,0.3,55,2.6,,
2017,1,7,18,30,-2.1,0,0,0,0,-11,0,0,0,0,0.276,50.57,107.71,0.22,894,0.3,49,3.2,,
2017,1,7,19,30,-3.2,0,0,0,0,-11.4,0,0,0,0,0.278,53.02,119.83,0.22,894,0.3,44,3.3,,
2017,1,7,20,30,-4.3,0,0,0,0,-11.4,0,0,0,0,0.281,57.67,132.18,0.22,894,0.3,39,3,,
2017,1,7,21,30,-5.1,0,0,0,0,-11.4,0,0,0,0,0.283,61.48,144.51,0.22,894,0.3,34,2.5,,
2017,1,7,22,30,-5.7,0,0,0,0,-11.4,0,0,0,0,0.285,63.97,156.37,0.22,893,0.3,30,2.3,,
2017,1,7,23,30,-6,0,0,0,0,-11.5,0,0,0,0,0.286,64.93,165.97,0.22,893,0.3,26,2.1,,
2017,1,8,0,30,-6.2,0,0,0,0,-11.6,0,0,0,0,0.286,65.42,166.58,0.22,893,0.3,23,2,,
2017,1,8,1,30,-6.2,0,0,0,0,-11.7,0,0,0,0,0.285,65.14,157.45,0.22,893,0.3,20,2.1,,
2017,1,8,2,30,-6.3,0,0,0,0,-11.7,0,0,0,0,0.285,65.4,145.69,0.22,892,0.3,16,2.1,,
2017,1,8,3,30,-6.3,0,0,0,0,-11.7,0,0,0,0,0.284,65.29,133.37,0.22,892,0.3,14,2.1,,
2017,1,8,4,30,-6.3,0,0,0,0,-11.8,0,0,0,0,0.286,65.13,121,0.22,892,0.3,14,2.1,,
2017,1,8,5,30,-6.3,0,0,0,0,-11.8,0,0,0,0,0.287,64.82,108.84,0.22,892,0.3,16,2.1,,
2017,1,8,6,30,-5.6,0,0,0,0,-11.9,0,0,0,0,0.287,61.08,97.09,0.22,892,0.3,18,2.4,,
2017,1,8,7,30,-3.5,24,447,57,0,-11.8,24,447,0,57,0.286,52.68,85.8,0.22,893,0.3,21,3,,
2017,1,8,8,30,-0.7,49,791,243,0,-12.5,49,791,0,243,0.284,40.57,75.79,0.22,893,0.3,27,3.3,,
2017,1,8,9,30,2.3,61,920,418,0,-12.8,61,920,0,418,0.284,31.75,67.16,0.22,893,0.3,33,3,,
2017,1,8,10,30,5,74,958,544,0,-14.4,74,958,0,544,0.285,23.06,60.65,0.22,893,0.3,37,2.7,,
2017,1,8,11,30,6.8,77,985,614,0,-16.7,77,985,0,614,0.287,16.83,57.01,0.22,892,0.3,41,2.3,,
2017,1,8,12,30,7.7,77,988,618,0,-17.4,77,988,0,618,0.289,14.98,56.82,0.22,891,0.3,45,2.1,,
2017,1,8,13,30,7.9,75,960,554,0,-17.3,75,960,0,554,0.289,14.87,60.11,0.22,891,0.3,49,2,,
2017,1,8,14,30,7.4,67,906,431,0,-16.9,67,906,0,431,0.288,15.9,66.35,0.22,891,0.3,54,1.8,,
2017,1,8,15,30,4.9,54,787,260,0,-12.6,54,787,0,260,0.288,26.93,74.79,0.22,891,0.3,59,1.4,,
2017,1,8,16,30,1.4,29,476,73,0,-8.4,29,476,0,73,0.289,47.94,84.69,0.22,891,0.3,61,1.4,,
2017,1,8,17,30,-0.7,0,0,0,0,-11.6,0,0,0,0,0.291,43.43,95.86,0.22,892,0.3,58,1.6,,
2017,1,8,18,30,-1.8,0,0,0,0,-12.1,0,0,0,0,0.292,45.27,107.56,0.22,892,0.3,54,1.7,,
2017,1,8,19,30,-2.7,0,0,0,0,-12.6,0,0,0,0,0.294,46.47,119.68,0.22,892,0.3,50,1.7,,
2017,1,8,20,30,-3.3,0,0,0,0,-12.9,0,0,0,0,0.294,47.28,132.03,0.22,892,0.3,46,1.7,,
2017,1,8,21,30,-3.5,0,0,0,0,-13.2,0,0,0,0,0.295,47.18,144.36,0.22,892,0.3,41,1.6,,
2017,1,8,22,30,-3.4,0,0,0,0,-13.4,0,0,0,0,0.295,46.07,156.21,0.22,892,0.3,35,1.5,,
2017,1,8,23,30,-3.2,0,0,0,0,-13.6,0,0,0,0,0.295,44.49,165.81,0.22,892,0.3,30,1.4,,
2017,1,9,0,30,-3,0,0,0,0,-13.8,0,0,0,0,0.294,43.31,166.5,0.22,892,0.3,25,1.3,,
2017,1,9,1,30,-3,0,0,0,0,-13.8,0,0,0,0,0.292,43.14,157.44,0.22,892,0.3,22,1.2,,
2017,1,9,2,30,-3.1,0,0,0,0,-13.8,0,0,0,0,0.29,43.4,145.7,0.22,892,0.3,19,1.2,,
2017,1,9,3,30,-3.2,0,0,0,0,-13.8,0,0,0,0,0.289,43.62,133.39,0.22,892,0.3,19,1.2,,
2017,1,9,4,30,-3.2,0,0,0,0,-13.8,0,0,0,0,0.287,43.66,121.03,0.22,892,0.3,26,1.1,,
2017,1,9,5,30,-3.2,0,0,0,0,-13.8,0,0,0,0,0.285,43.89,108.86,0.22,892,0.3,36,1.1,,
2017,1,9,6,30,-2.9,0,0,0,0,-13.6,0,0,0,0,0.284,43.68,97.09,0.22,893,0.3,52,1,,
2017,1,9,7,30,-1,24,465,58,0,-11.6,24,465,0,58,0.282,44.33,85.79,0.22,893,0.2,89,1.2,,
2017,1,9,8,30,1.8,49,809,248,0,-12.8,49,809,0,248,0.28,32.93,75.76,0.22,894,0.2,147,1.7,,
2017,1,9,9,30,4.4,61,936,425,0,-14,61,936,0,425,0.279,24.84,67.1,0.22,894,0.2,188,2.2,,
2017,1,9,10,30,6.7,67,981,549,0,-14.3,67,981,0,549,0.277,20.71,60.56,0.22,893,0.3,201,2.6,,
2017,1,9,11,30,8.3,70,1007,620,0,-14.2,70,1007,0,620,0.275,18.68,56.89,0.22,892,0.3,206,2.9,,
2017,1,9,12,30,9.1,69,1010,624,0,-13.9,69,1010,0,624,0.274,18.2,56.67,0.22,892,0.3,208,3,,
2017,1,9,13,30,9.4,66,991,562,0,-13.6,66,991,0,562,0.272,18.26,59.94,0.22,891,0.3,209,2.8,,
2017,1,9,14,30,9,59,940,439,0,-13.3,59,940,0,439,0.27,19.23,66.18,0.22,891,0.3,206,2.2,,
2017,1,9,15,30,6.7,48,831,268,0,-9.4,48,831,0,268,0.267,30.63,74.62,0.22,891,0.3,194,1.5,,
2017,1,9,16,30,4.1,27,545,79,0,-7.1,27,545,0,79,0.265,44.03,84.53,0.22,892,0.3,180,1.2,,
2017,1,9,17,30,2.9,0,0,0,0,-10.5,0,0,0,0,0.265,36.77,95.7,0.22,892,0.3,173,1.3,,
2017,1,9,18,30,1.8,0,0,0,0,-10.9,0,0,0,0,0.266,38.27,107.4,0.22,892,0.3,174,1.4,,
2017,1,9,19,30,0.4,0,0,0,0,-11,0,0,0,0,0.268,42.06,119.53,0.22,893,0.3,186,1.6,,
